Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url
2018,Augsburg,Bundesliga,Shawn Parker,GER,"DF,MF",24,1993,0.5,19,0,2,8,9,1,19,0,0,NA,0,0,12,6,4,0,0,0,2,3,19,12,63.2,3,https://fbref.com/en/players/b9ebc83e/Shawn-Parker
2018,Augsburg,Bundesliga,Marco Richter,GER,"FW,MF",19,1997,7.2,261,7,50,117,113,14,260,8,14,57.1,9,3,185,887,417,24,8,3,23,14,255,170,66.7,58,https://fbref.com/en/players/f972644c/Marco-Richter
2018,Augsburg,Bundesliga,Jonathan Schmid,FRA,"DF,FW",27,1990,16.4,796,31,195,321,331,36,629,10,22,45.5,11,2,405,1964,967,46,20,3,15,14,470,379,80.6,59,https://fbref.com/en/players/088ca1bd/Jonathan-Schmid
2018,Augsburg,Bundesliga,Kostas Stafylidis,GRE,DF,23,1993,0.4,16,1,8,7,1,0,12,0,0,NA,0,0,7,18,6,0,0,0,1,0,2,2,100,0,https://fbref.com/en/players/861e0116/Kostas-Stafylidis
2018,Augsburg,Bundesliga,Erik Thommy,GER,FW,22,1994,1.9,99,1,7,38,62,8,93,0,1,0,0,0,72,344,179,9,5,2,4,1,81,62,76.5,26,https://fbref.com/en/players/df8e7b62/Erik-Thommy
2018,Barcelona,La Liga,Jordi Alba,ESP,DF,28,1989,30.5,2620,98,695,1155,918,108,2372,19,29,65.5,21,4,1803,7295,3710,150,57,14,26,11,1978,1818,91.9,142,https://fbref.com/en/players/4601e194/Jordi-Alba
2018,Barcelona,La Liga,Paco Alcácer,ESP,"MF,FW",23,1993,7.7,310,5,32,150,142,33,301,4,10,40,5,1,210,818,339,17,8,2,15,5,316,224,70.9,45,https://fbref.com/en/players/a7a9d95a/Paco-Alcacer
2018,Barcelona,La Liga,José Arnaiz,ESP,MF,22,1995,0.1,7,0,1,3,5,0,7,0,0,NA,0,0,4,10,0,0,0,0,1,0,4,4,100,1,https://fbref.com/en/players/46e07328/Jose-Arnaiz
2018,Barcelona,La Liga,Sergio Busquets,ESP,MF,29,1988,28.8,2433,54,627,1564,397,15,2382,25,29,86.2,25,1,1687,6410,3196,102,23,1,13,19,1861,1814,97.5,44,https://fbref.com/en/players/5ab0ea87/Sergio-Busquets
2018,Barcelona,La Liga,Jasper Cillessen,NED,GK,28,1989,1,32,32,32,0,0,0,23,0,0,NA,0,0,14,34,10,0,0,0,0,0,14,14,100,0,https://fbref.com/en/players/04ac8285/Jasper-Cillessen
2018,Barcelona,La Liga,Philippe Coutinho,BRA,"FW,MF",25,1992,14.4,1062,8,82,477,583,80,1008,39,72,54.2,41,2,883,4691,2411,141,36,18,46,25,973,839,86.2,154,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho
2018,Barcelona,La Liga,Ousmane Dembélé,FRA,"FW,MF",20,1997,10.3,649,2,33,264,415,62,619,36,61,59,39,2,559,2958,1880,103,39,20,32,34,633,526,83.1,112,https://fbref.com/en/players/b19db005/Ousmane-Dembele
2018,Barcelona,La Liga,Gerard Deulofeu,ESP,"MF,FW",23,1994,5.6,358,3,41,103,238,48,343,9,23,39.1,10,1,274,1456,868,40,11,15,11,13,348,288,82.8,60,https://fbref.com/en/players/39583cfd/Gerard-Deulofeu
2018,Barcelona,La Liga,Lucas Digne,FRA,DF,24,1993,7.8,635,30,204,287,178,20,563,7,11,63.6,9,1,387,1970,1070,60,9,6,6,2,419,384,91.6,39,https://fbref.com/en/players/1b84dbe1/Lucas-Digne
2018,Barcelona,La Liga,André Gomes,POR,"MF,FW",24,1993,7.1,441,11,69,266,134,20,440,21,29,72.4,22,0,362,1688,698,36,10,3,10,20,391,336,85.9,51,https://fbref.com/en/players/1961b2aa/Andre-Gomes
2018,Barcelona,La Liga,Andrés Iniesta,ESP,MF,33,1984,20.3,1721,11,184,1012,664,45,1704,47,71,66.2,55,1,1450,6690,3551,191,79,15,22,27,1588,1464,92.2,69,https://fbref.com/en/players/cfd65a29/Andres-Iniesta
2018,Barcelona,La Liga,Javier Mascherano,ARG,DF,33,1984,6,504,66,252,293,8,1,492,1,1,100,1,0,348,2659,1802,45,2,0,0,2,383,380,99.2,1,https://fbref.com/en/players/5070881b/Javier-Mascherano
