Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2018,Dortmund,Bundesliga,Nuri Şahin,TUR,MF,28,1988,18,14,1225,13.6,2,2,2,0,0,2,0,0.15,0.15,0.29,0.15,0.29,2,2,1.9,3.9,0.15,0.14,0.29,0.15,0.29,https://fbref.com/en/players/f4081572/Nuri-Sahin
2018,Dortmund,Bundesliga,Jadon Sancho,ENG,FW,17,2000,12,7,690,7.7,1,4,1,0,0,0,0,0.13,0.52,0.65,0.13,0.65,2.2,2.2,3.1,5.3,0.29,0.41,0.69,0.29,0.69,https://fbref.com/en/players/dbf053da/Jadon-Sancho
2018,Dortmund,Bundesliga,Marcel Schmelzer,GER,DF,29,1988,18,17,1491,16.6,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.02,0.03,0.05,0.02,0.05,https://fbref.com/en/players/89565ac5/Marcel-Schmelzer
2018,Dortmund,Bundesliga,André Schürrle,GER,FW,26,1990,18,11,1236,13.7,1,6,1,0,1,0,0,0.07,0.44,0.51,0.07,0.51,4.6,3.8,2.3,6.2,0.33,0.17,0.5,0.28,0.45,https://fbref.com/en/players/ecbb3fdf/Andre-Schurrle
2018,Dortmund,Bundesliga,Neven Subotić,SRB,DF,28,1988,4,3,271,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/821233cc/Neven-Subotic
2018,Dortmund,Bundesliga,Jeremy Toljan,GER,DF,22,1994,16,13,1211,13.5,1,2,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,0.3,0.3,1,1.3,0.02,0.08,0.1,0.02,0.1,https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan
2018,Dortmund,Bundesliga,Ömer Toprak,TUR,DF,28,1989,26,22,2020,22.4,0,1,0,0,0,1,0,0,0.04,0.04,0,0.04,0.7,0.7,0.1,0.8,0.03,0,0.04,0.03,0.04,https://fbref.com/en/players/c5fd13e9/Omer-Toprak
2018,Dortmund,Bundesliga,Roman Weidenfeller,GER,GK,36,1980,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller
2018,Dortmund,Bundesliga,Julian Weigl,GER,MF,21,1995,25,20,1944,21.6,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,0.1,0.1,0.2,0.3,0.01,0.01,0.01,0.01,0.01,https://fbref.com/en/players/346d51d9/Julian-Weigl
2018,Dortmund,Bundesliga,Andriy Yarmolenko,UKR,"FW,MF",27,1989,18,13,1039,11.5,3,3,3,0,0,0,0,0.26,0.26,0.52,0.26,0.52,5.3,5.3,4.1,9.3,0.46,0.35,0.81,0.46,0.81,https://fbref.com/en/players/849c826a/Andriy-Yarmolenko
